food_code,food_name,servings_unit,veg_nonveg_flag,Region,Meal_Type,is_processed_flag,is_spicy_flag,contains_dairy_flag,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,zinc_mg,vita_mcg,folate_mcg,vitc_mg,carb_to_fibre_ratio,protein_to_carb_ratio,unsat_to_sat_fat_ratio
ASC061,Plain omelette/omlet,omelette,0,General,Dessert,0,0,0,389.55,0.92,13.82,36.81,0.74,0.17,6607.32,9200.42,18269.08,69.21,1.93,14.61,323.44,163.13,1.29,198.0,50.48,0.3,5.411764705882352,15.021739130434783,4.157434481756598
ASC062,Stuffed egg omelette/omlet,omelette,1,General,Dessert,0,0,0,533.21,6.03,22.54,46.57,4.11,1.97,12478.76,11849.49,18790.03,235.56,2.4,37.07,700.03,423.71,2.37,303.82,70.23,8.29,3.0609137055837565,3.737976782752902,2.455333703028185
ASC063,Pancake,pancake,0,General,Evening Snacks,1,0,0,85.97,8.66,2.4,4.57,1.4,0.28,1169.36,1068.03,2015.61,33.6,0.29,5.73,60.75,49.39,0.22,8.22,5.43,0.5,30.928571428571427,0.27713625866050806,2.6370322227543275
ASC064,Keema pancake,pancake,0,General,Evening Snacks,1,0,0,194.58,10.55,9.94,12.41,2.42,0.93,5270.56,3771.68,2371.99,45.22,1.02,18.71,138.42,219.02,1.61,42.42,12.23,4.64,11.344086021505376,0.9421800947867297,1.1656579187031357
ASC065,Vegetable pancake,pancake,0,General,Evening Snacks,1,0,0,146.64,14.33,4.53,7.7,2.44,2.9,3016.03,1849.41,2250.43,50.24,0.92,23.32,136.71,270.29,0.56,41.2,28.57,20.63,4.941379310344828,0.31612002791346827,1.3593498738407774
ASC066,Jam and fruit pancake,pancake,0,General,Evening Snacks,1,0,0,106.57,13.63,2.49,4.61,5.16,0.79,1179.16,1073.87,2027.6,35.56,0.34,7.83,61.23,72.63,0.24,8.22,8.42,6.48,17.253164556962027,0.18268525311812178,2.630236778723837
ASC067,Khoa and coconut pancake,pancake,0,General,Dessert,1,0,0,193.51,19.44,4.97,10.88,11.72,1.18,4979.99,1960.81,2163.01,111.86,0.8,16.09,71.86,146.17,0.57,8.22,19.12,0.73,16.474576271186443,0.25565843621399176,0.8280779680280482
ASC068,Brown stock,cup,0,General,Evening Snacks,0,0,0,103.65,1.22,9.47,6.73,0.68,0.46,14.48,7.95,37.28,83.43,1.44,3.49,216.78,178.28,0.05,0.0,6.33,1.5,2.652173913043478,7.762295081967213,3.123618784530387
ASC069,Vegetable stock,cup,0,General,Dessert,0,0,0,73.13,3.99,1.25,5.72,1.84,1.59,3545.89,1428.38,279.21,21.11,0.49,10.96,206.67,124.83,0.22,64.67,13.92,7.58,2.509433962264151,0.3132832080200501,0.48156880219070536
ASC070,Chicken stock,cup,1,General,Dessert,0,0,0,112.33,1.38,13.86,5.68,0.74,0.39,523.84,628.65,250.04,13.42,0.69,15.98,220.23,210.97,0.54,4.35,10.19,0.84,3.538461538461538,10.043478260869566,1.6774014966401953
ASC079,Clear tomato soup (Tamatar ka soup),soup bowl,0,General,Evening Snacks,0,0,0,318.41,13.72,19.06,48.61,5.71,7.81,3385.88,5622.76,17426.95,115.5,4.55,89.02,20422.28,926.31,0.92,0.0,43.91,53.16,1.7567221510883484,1.389212827988338,6.807598024738029
ASC080,Lentil soup,soup bowl,0,General,Evening Snacks,0,0,0,121.31,15.35,37.57,45.46,4.11,10.02,2212.02,902.34,427.98,157.9,8.79,142.5,40553.26,1363.3,1.82,38.32,34.92,17.9,1.531936127744511,2.4475570032573293,0.6014050505872461
ASC081,Chicken consomme (Clear chicken soup),soup bowl,1,General,Evening Snacks,0,0,0,108.31,2.68,25.91,27.15,1.22,3.54,1851.59,2722.24,1346.15,80.15,4.12,73.07,20226.27,689.87,1.03,21.6,11.38,2.1,0.7570621468926554,9.667910447761194,2.1972412899183946
ASC082,Cream of tomato soup,soup bowl,0,General,Dessert,0,0,0,452.28,18.16,21.32,60.65,8.36,6.36,10979.6,8779.1,17781.56,183.14,4.41,91.34,20628.69,950.97,1.11,120.29,44.01,53.23,2.8553459119496853,1.1740088105726871,2.4190917701919927
